timestamp;runtime_tick;sequence;phase;reason;decision;field_label;field_focus;field_clarity;field_stability;field_fragmentation;field_strain;field_pressure;field_support;field_observation_need;field_replan_pressure;field_action_support;action_clearance;action_inhibition;regulated_courage;decision_strength;state_maturity;decision_readiness;processing_load;processing_tension;felt_pressure;felt_stability;thought_pressure;thought_support;context_cluster_id;inner_context_cluster_id
1767398100000000;76;73;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1487;0.1703;0.0376;0.7519;0.2329;0.6870;0.3714;0.8205;0.7981;0.4731;0.3895;0.2973;1.0000;0.0932;1.0000;ctx_22;inner_ctx_6
1767398400000000;77;74;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1528;0.1745;0.0343;0.7062;0.2675;0.6617;-0.5311;0.7489;0.7248;0.3288;0.2676;0.1823;1.0000;0.0926;1.0000;ctx_6;inner_ctx_6
1767398700000000;78;75;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1582;0.1770;0.0279;0.7219;0.2444;0.6721;-0.1683;0.7978;0.7889;0.4501;0.3504;0.2139;1.0000;0.1060;1.0000;ctx_3;inner_ctx_6
1767399300000000;80;77;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1458;0.1687;0.0378;0.6685;0.2391;0.6194;0.1844;0.7248;0.7193;0.5549;0.4403;0.2049;1.0000;0.0704;1.0000;ctx_13;inner_ctx_1
1767399600000000;81;78;observe;zero_point_regulation;LONG;quiet_field;0.0000;0.2252;0.0000;0.0000;0.0000;0.3147;0.2646;0.2636;0.2489;0.1546;0.6754;0.3443;0.5869;1.1224;0.7102;0.6850;0.8005;0.7088;0.3985;1.0000;0.1212;1.0000;ctx_47;inner_ctx_6
1767399900000000;82;79;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1461;0.1714;0.0239;0.6147;0.2910;0.5515;-0.3270;0.6363;0.6339;0.5514;0.4008;0.1443;1.0000;0.0832;1.0000;ctx_49;inner_ctx_1
1767400200000000;83;80;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1407;0.1692;0.0285;0.6095;0.2872;0.5494;-0.2960;0.6163;0.6072;0.4674;0.3585;0.1457;1.0000;0.0827;1.0000;-;inner_ctx_6
1767400500000000;84;81;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1370;0.1644;0.0383;0.6698;0.2049;0.5886;0.0598;0.7256;0.7359;0.4082;0.3148;0.1640;1.0000;0.0997;1.0000;ctx_14;inner_ctx_6
1767401100000000;86;83;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1529;0.1737;0.0296;0.6680;0.2376;0.6319;0.0461;0.7425;0.7388;0.5010;0.3888;0.1814;1.0000;0.1033;1.0000;ctx_21;inner_ctx_6
1767401400000000;87;84;observe;development_reframe_observe;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1454;0.1728;0.0484;0.7191;0.1957;0.6636;0.2187;0.7806;0.7825;0.3707;0.2899;0.2166;1.0000;0.1033;1.0000;ctx_8;inner_ctx_6
