MCM_DECISION | long_score=-2.4709 short_score=1.1479 memory_center=1.1386 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.6049 felt_profile_label=mixed_unclear best_score=1.1479 reject_reason=-
MCM_DECISION | long_score=-2.1571 short_score=0.3594 memory_center=-0.5988 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6350 felt_profile_label=recovering best_score=0.3594 reject_reason=-
MCM_DECISION | long_score=-3.1537 short_score=1.3631 memory_center=-1.4446 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.6053 felt_profile_label=mixed_unclear best_score=1.3631 reject_reason=-
MCM_DECISION | long_score=-1.1878 short_score=-0.9204 memory_center=-2.4504 memory_strength=51 self_state=stressed attractor=defense felt_bearing_score=0.3834 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7231 short_score=-1.8678 memory_center=0.1251 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.6168 felt_profile_label=mixed_unclear best_score=0.7231 reject_reason=-
MCM_DECISION | long_score=0.9008 short_score=-2.1120 memory_center=0.6178 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.6071 felt_profile_label=mixed_unclear best_score=0.9008 reject_reason=-
MCM_DECISION | long_score=0.0104 short_score=-1.2899 memory_center=2.2774 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.3768 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.7212 short_score=0.3938 memory_center=0.1603 memory_strength=27 self_state=stressed attractor=cooperate felt_bearing_score=0.6020 felt_profile_label=mixed_unclear best_score=0.3938 reject_reason=-
MCM_DECISION | long_score=-2.6443 short_score=0.7771 memory_center=-1.1400 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.5983 felt_profile_label=mixed_unclear best_score=0.7771 reject_reason=-
MCM_DECISION | long_score=0.0420 short_score=-1.4743 memory_center=2.3592 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.5899 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9383 short_score=0.6140 memory_center=1.4458 memory_strength=24 self_state=stressed attractor=neutral felt_bearing_score=0.5892 felt_profile_label=mixed_unclear best_score=0.6140 reject_reason=-
MCM_DECISION | long_score=-1.3910 short_score=0.2107 memory_center=2.2958 memory_strength=27 self_state=stressed attractor=explore felt_bearing_score=0.5973 felt_profile_label=mixed_unclear best_score=0.2107 reject_reason=-
