MCM_DECISION | long_score=-0.7600 short_score=-1.3303 memory_center=-2.4217 memory_strength=51 self_state=stressed attractor=defense felt_bearing_score=0.6003 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.6242 short_score=0.6537 memory_center=-2.4446 memory_strength=58 self_state=stressed attractor=defense felt_bearing_score=0.6110 felt_profile_label=recovering best_score=0.6537 reject_reason=-
MCM_DECISION | long_score=-0.3463 short_score=-0.9860 memory_center=-2.4521 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.3958 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5820 short_score=0.2462 memory_center=2.2853 memory_strength=23 self_state=stressed attractor=explore felt_bearing_score=0.6086 felt_profile_label=mixed_unclear best_score=0.2462 reject_reason=-
MCM_DECISION | long_score=0.6222 short_score=-2.0963 memory_center=1.3503 memory_strength=43 self_state=stressed attractor=neutral felt_bearing_score=0.6403 felt_profile_label=stable_bearing best_score=0.6222 reject_reason=-
MCM_DECISION | long_score=-1.8727 short_score=0.2074 memory_center=2.4078 memory_strength=43 self_state=stressed attractor=explore felt_bearing_score=0.3835 felt_profile_label=mixed_unclear best_score=0.2074 reject_reason=-
MCM_DECISION | long_score=0.1699 short_score=-1.9567 memory_center=2.4015 memory_strength=32 self_state=stressed attractor=explore felt_bearing_score=0.6220 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.3365 short_score=-1.3691 memory_center=2.3461 memory_strength=38 self_state=stressed attractor=explore felt_bearing_score=0.3886 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.9523 short_score=-2.6556 memory_center=1.3626 memory_strength=38 self_state=stressed attractor=neutral felt_bearing_score=0.3804 felt_profile_label=mixed_unclear best_score=0.9523 reject_reason=-
MCM_DECISION | long_score=1.4249 short_score=-2.5902 memory_center=1.1362 memory_strength=22 self_state=stressed attractor=cooperate felt_bearing_score=0.6100 felt_profile_label=mixed_unclear best_score=1.4249 reject_reason=-
MCM_DECISION | long_score=0.2496 short_score=-1.2536 memory_center=1.2994 memory_strength=27 self_state=stressed attractor=neutral felt_bearing_score=0.6123 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.5384 short_score=-1.6972 memory_center=-1.5624 memory_strength=21 self_state=stressed attractor=defense felt_bearing_score=0.6265 felt_profile_label=mixed_unclear best_score=0.5384 reject_reason=-
MCM_DECISION | long_score=-3.1770 short_score=1.2086 memory_center=-1.7476 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.5966 felt_profile_label=mixed_unclear best_score=1.2086 reject_reason=-
MCM_DECISION | long_score=0.5358 short_score=-1.8118 memory_center=-0.9098 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.6239 felt_profile_label=mixed_unclear best_score=0.5358 reject_reason=-
MCM_DECISION | long_score=-0.9149 short_score=-0.6707 memory_center=2.2775 memory_strength=32 self_state=stressed attractor=explore felt_bearing_score=0.6077 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.3707 short_score=-1.7696 memory_center=-1.1244 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.6038 felt_profile_label=mixed_unclear best_score=0.3707 reject_reason=-
MCM_DECISION | long_score=-1.4132 short_score=-0.1792 memory_center=-1.1499 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.6121 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.8793 short_score=-2.3019 memory_center=1.2427 memory_strength=20 self_state=stressed attractor=neutral felt_bearing_score=0.5967 felt_profile_label=mixed_unclear best_score=0.8793 reject_reason=-
MCM_DECISION | long_score=-0.4601 short_score=-1.0213 memory_center=0.0607 memory_strength=28 self_state=stressed attractor=cooperate felt_bearing_score=0.6018 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
