section;elapsed_ms;extra
mcm_field.step.sync_neurons;1.3706;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.1175;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4448;agents=230|dims=3
apply_runtime_result.total;3.4097;decision_tendency=observe|runtime_tick_seq=210
step_mcm_brain.cluster_detect_snapshot;3.5825;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.3276;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;4.3638;decision_tendency=observe
mcm_field.step.total;75.8340;agents=230|dims=3
mcm_field.step.sync_neurons;1.3481;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.7228;clusters=1|agents=230
mcm_field.step.activity_diffusion;22.6167;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;38.5275;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4478;agents=230|dims=3
apply_runtime_result.total;3.4578;decision_tendency=hold|runtime_tick_seq=216
step_mcm_brain.cluster_detect_snapshot;3.8305;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8305;agents=230|neighbors=8
compute_runtime_result.total;78.2298;decision_tendency=hold|active_trade=False
mcm_field.step.refresh_arrays;0.4423;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1076;active=0.9174
step_mcm_brain.cluster_detect_pre_memory;0.0549;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3556;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.8398;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5181;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1181;active=0.9321
step_mcm_brain.primary_field_step;72.0518;agents=230|dims=3
mcm_field.step.sync_neurons;1.3949;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.3983;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4540;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1047;active=0.9173
mcm_field.step.field_perception_state;0.3228;agents=230
apply_runtime_result.total;3.3241;decision_tendency=hold|runtime_tick_seq=226
step_mcm_brain.cluster_detect_snapshot;3.8546;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.4460;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.1117;decision_tendency=hold
mcm_field.step.total;73.7261;agents=230|dims=3
mcm_field.step.sync_neurons;1.3592;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.8824;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5012;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.1566;decision_tendency=observe
step_mcm_brain.primary_field_step;50.2911;agents=230|dims=3
mcm_field.step.sync_neurons;1.3815;agents=230|dims=3
step_mcm_brain.snapshot_field_read;17.3048;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4881;agents=230|dims=3
