MCM_DECISION | long_score=1.5133 short_score=-2.0676 memory_center=0.3150 memory_strength=21 self_state=active attractor=cooperate best_score=1.5133 reject_reason=-
MCM_DECISION | long_score=-1.3237 short_score=0.7039 memory_center=0.1987 memory_strength=30 self_state=stable attractor=cooperate best_score=0.7039 reject_reason=-
MCM_DECISION | long_score=-1.0101 short_score=0.3683 memory_center=0.1987 memory_strength=26 self_state=active attractor=cooperate best_score=0.3683 reject_reason=-
MCM_DECISION | long_score=-0.9875 short_score=0.0197 memory_center=-0.6336 memory_strength=34 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7825 short_score=-1.4485 memory_center=0.2681 memory_strength=31 self_state=active attractor=cooperate best_score=0.7825 reject_reason=-
MCM_DECISION | long_score=-0.0578 short_score=-0.7974 memory_center=0.2645 memory_strength=38 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.9433 short_score=0.2648 memory_center=0.2645 memory_strength=32 self_state=stable attractor=cooperate best_score=0.2648 reject_reason=-
MCM_DECISION | long_score=-0.8618 short_score=0.3071 memory_center=0.2645 memory_strength=27 self_state=stable attractor=cooperate best_score=0.3071 reject_reason=-
MCM_DECISION | long_score=-1.5789 short_score=1.0673 memory_center=0.2645 memory_strength=23 self_state=active attractor=cooperate best_score=1.0673 reject_reason=-
MCM_DECISION | long_score=0.4384 short_score=-1.0361 memory_center=0.2868 memory_strength=32 self_state=active attractor=cooperate best_score=0.4384 reject_reason=-
MCM_DECISION | long_score=-0.4739 short_score=-0.3669 memory_center=0.2854 memory_strength=39 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.8926 short_score=0.2879 memory_center=0.2854 memory_strength=33 self_state=active attractor=cooperate best_score=0.2879 reject_reason=-
MCM_DECISION | long_score=0.7057 short_score=-1.2717 memory_center=0.2854 memory_strength=28 self_state=active attractor=cooperate best_score=0.7057 reject_reason=-
