MCM_DECISION | long_score=0.8547 short_score=-2.3515 memory_center=1.4558 memory_strength=23 self_state=stressed attractor=neutral felt_bearing_score=0.5822 felt_profile_label=mixed_unclear best_score=0.8547 reject_reason=-
MCM_DECISION | long_score=-0.4588 short_score=-1.0161 memory_center=0.1006 memory_strength=28 self_state=stressed attractor=cooperate felt_bearing_score=0.5816 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.6819 short_score=0.4482 memory_center=1.4894 memory_strength=31 self_state=stressed attractor=neutral felt_bearing_score=0.5899 felt_profile_label=mixed_unclear best_score=0.4482 reject_reason=-
MCM_DECISION | long_score=-0.3662 short_score=-0.9325 memory_center=1.3294 memory_strength=20 self_state=stressed attractor=neutral felt_bearing_score=0.5828 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.2154 short_score=0.6222 memory_center=1.1462 memory_strength=33 self_state=stressed attractor=cooperate felt_bearing_score=0.5901 felt_profile_label=mixed_unclear best_score=0.6222 reject_reason=-
MCM_DECISION | long_score=0.1343 short_score=-1.3427 memory_center=0.1563 memory_strength=30 self_state=stressed attractor=cooperate felt_bearing_score=0.5919 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0088 short_score=-0.8941 memory_center=-2.4755 memory_strength=47 self_state=stressed attractor=defense felt_bearing_score=0.5940 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-1.8661 short_score=0.4882 memory_center=-2.3629 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.5971 felt_profile_label=mixed_unclear best_score=0.4882 reject_reason=-
MCM_DECISION | long_score=-0.3733 short_score=-1.3922 memory_center=-2.1269 memory_strength=53 self_state=stressed attractor=defense felt_bearing_score=0.6191 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1440 short_score=0.9248 memory_center=1.3937 memory_strength=21 self_state=stressed attractor=neutral felt_bearing_score=0.5915 felt_profile_label=mixed_unclear best_score=0.9248 reject_reason=-
